passenger_count,trip_distance,fare
1.0,6.27,23.8
1.0,0.4,5.8
6.0,0.36,9.3
1.0,0.7,6.800000000000001
1.0,9.98,38.56
1.0,2.0,10.8
1.0,0.7,6.800000000000001
2.0,0.9,7.3
1.0,0.5,6.3
2.0,17.44,63.06
1.0,4.4,19.8
1.0,0.6,6.8
1.0,2.07,11.3
1.0,1.02,10.8
1.0,1.2,12.8
4.0,0.7,8.8
1.0,0.9,10.3
2.0,1.1,8.8
1.0,0.36,5.300000000000001
1.0,0.62,7.3
2.0,1.35,7.800000000000001
2.0,4.7,20.799999999999997
1.0,9.51,34.56
2.0,1.7,10.8
1.0,3.5,14.3
3.0,17.5,51.8
1.0,0.72,7.8
1.0,2.0,3.3
1.0,5.37,18.3
1.0,2.21,12.8
1.0,4.1,17.8
5.0,3.17,14.8
1.0,1.1,6.3
1.0,0.92,5.8
1.0,2.2,12.3
1.0,0.4,4.8
1.0,13.5,47.5
1.0,1.32,8.8
1.0,1.42,7.8
1.0,0.21,4.8
1.0,0.7,7.8
1.0,7.6,34.3
1.0,5.1,18.8
1.0,5.37,19.8
1.0,4.1,16.8
1.0,0.77,6.8
1.0,5.99,19.55
2.0,2.61,19.3
1.0,0.97,7.3
5.0,11.07,40.56
1.0,16.96,55.3
1.0,1.5,8.3
1.0,13.5,39.800000000000004
1.0,16.87,51.3
1.0,5.18,19.93
1.0,7.92,26.3
3.0,13.37,41.8
1.0,1.37,9.299999999999999
1.0,9.9,32.3
1.0,0.95,6.3
1.0,3.72,19.3
1.0,2.15,9.8
2.0,5.45,27.299999999999997
2.0,13.37,40.3
1.0,5.23,21.299999999999997
1.0,3.82,18.3
1.0,1.54,8.3
1.0,4.74,17.5
1.0,1.3,8.299999999999999
1.0,0.93,7.3
1.0,3.18,13.8
1.0,2.22,9.8
1.0,4.83,15.5
5.0,12.55,45.56
1.0,1.25,9.299999999999999
1.0,3.99,17.3
1.0,3.35,13.3
1.0,4.2,19.3
1.0,14.33,58.559999999999995
1.0,2.56,10.8
1.0,2.37,12.3
1.0,2.04,11.8
2.0,11.42,48.8
4.0,2.0,13.8
1.0,2.53,14.3
1.0,2.14,10.3
1.0,2.53,10.8
1.0,8.12,24.86
2.0,0.42,5.8
1.0,1.36,7.8
1.0,1.59,9.3
1.0,1.6,10.3
1.0,3.77,17.8
2.0,0.81,6.3
1.0,2.75,15.8
3.0,1.2,9.3
1.0,3.26,12.8
1.0,1.11,7.8
1.0,0.9,6.3
1.0,1.2,8.8
1.0,2.79,13.3
3.0,1.0,6.3
5.0,1.64,8.8
1.0,1.1,7.300000000000001
1.0,8.13,29.3
1.0,0.03,3.3
1.0,1.67,21.8
1.0,0.7,5.8
1.0,2.94,12.3
1.0,1.01,6.800000000000001
1.0,10.68,38.3
1.0,1.76,10.8
1.0,1.26,7.8
1.0,0.91,8.3
1.0,1.22,9.3
1.0,0.61,7.3
1.0,1.17,7.3
2.0,6.83,27.8
1.0,1.75,14.559999999999999
1.0,0.8,6.3
1.0,0.9,6.3
1.0,9.55,38.06
1.0,3.5,15.3
1.0,9.9,35.06
1.0,1.9,9.3
1.0,0.78,5.3
6.0,1.92,8.3
1.0,0.5,6.3
1.0,0.69,4.8
1.0,2.89,16.8
1.0,1.4,8.8
1.0,2.7,14.3
5.0,1.23,6.8
1.0,2.08,16.299999999999997
2.0,1.96,12.3
1.0,0.6,8.3
6.0,1.87,12.3
5.0,1.82,10.8
1.0,8.1,27.3
1.0,0.57,7.3
1.0,0.64,6.8
1.0,3.03,17.3
1.0,1.65,10.299999999999999
1.0,1.7,11.8
1.0,1.01,11.8
1.0,6.75,27.299999999999997
1.0,2.3,14.8
1.0,1.25,10.299999999999999
6.0,3.61,16.8
1.0,2.0,12.8
1.0,1.55,13.3
6.0,3.46,15.3
2.0,4.41,19.8
